,#,IDavion,JP,Production Aircraft,Manufacturer,TYPE,Version,Commercial Name,Modif. Number. air,Modif. descr. air,MTOM(kg),MLM(kg),Slats Flaps To(°/°),Slats Flaps App(°/°),Engine,Nacelle/Propeller,Modif. Number eng,Modif. descr. eng,Number of engines,TO Thrust/Power(kN/kW),Bpr Nbl,Noise Regulation,Chapter Stage,Certif Autho,Certif Date,FO(EPNdB),Limit FO(EPNdB),Margin FO(EPNdB),Lateral/Full Power(EPNdB),Limit Lateral/Full Power(EPNdB),Margin Lateral/Full Power(EPNdB),Approach(EPNdB),Limit APP(EPNdB),Margin APP(EPNdB),Interpolation FO,Interpolation Lateral/Full Power,Interpolation APP,Remarks
2263,2301,AIRBUS_20094,J,Out of Production,AIRBUS,A320,214,,,,78000.0,66000.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,86.1,91.8,5.7,93.1,97.0,3.9,95.6,100.7,5.1,0,0,0,"Weight variant n° 17, Dossier n° 00.D.090.P4039/C22, EASA record Id A11632"
2264,2302,AIRBUS_20095,J,Out of Production,AIRBUS,A320,214,,,,78000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,86.1,91.8,5.7,93.1,97.0,3.9,95.5,100.7,5.2,0,0,0,"Weight variant n° 15, Dossier n° 00.D.090.P4039/C22, EASA record Id A11633"
2279,2317,AIRBUS_20110,J,Out of Production,AIRBUS,A320,214,,,,67000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,81.5,90.9,9.4,93.8,96.4,2.6,95.5,100.2,4.7,0,0,0,"Weight variant n° 5, Dossier n° 00.D.090.P4039/C22, EASA record Id A7457"
2278,2316,AIRBUS_20109,J,Out of Production,AIRBUS,A320,214,,,,68000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,81.9,91.0,9.1,93.7,96.5,2.8,95.5,100.2,4.7,0,0,0,"Weight variant n° 1, Dossier n° 00.D.090.P4039/C22, EASA record Id A7456"
2277,2315,AIRBUS_20108,J,Out of Production,AIRBUS,A320,214,,,,70000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,82.7,91.2,8.5,93.6,96.6,3.0,95.5,100.3,4.8,0,0,0,"Weight variant n° 2, Dossier n° 00.D.090.P4039/C22, EASA record Id A2436"
2276,2314,AIRBUS_20107,J,Out of Production,AIRBUS,A320,214,,,,71500.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,83.3,91.3,8.0,93.5,96.7,3.2,95.5,100.4,4.9,0,0,0,"Weight variant n° 13, Dossier n° 00.D.090.P4039/C22, EASA record Id A2435"
2275,2313,AIRBUS_20106,J,Out of Production,AIRBUS,A320,214,,,,71500.0,66000.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,83.3,91.3,8.0,93.5,96.7,3.2,95.6,100.4,4.8,0,0,0,"Weight variant n° 18, Dossier n° 00.D.090.P4039/C22, EASA record Id A16632"
2274,2312,AIRBUS_20105,J,Out of Production,AIRBUS,A320,214,,,,73500.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,84.2,91.5,7.3,93.3,96.8,3.5,95.5,100.5,5.0,0,0,0,"Weight variant n° 14, Dossier n° 00.D.090.P4039/C22, EASA record Id A2434"
2273,2311,AIRBUS_20104,J,Out of Production,AIRBUS,A320,214,,,,73500.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,84.2,91.5,7.3,93.3,96.8,3.5,95.5,100.5,5.0,0,0,0,"Weight variant n° 8, Dossier n° 00.D.090.P4039/C22, EASA record Id A2433"
2272,2310,AIRBUS_20103,J,Out of Production,AIRBUS,A320,214,,,,73500.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,84.2,91.5,7.3,93.3,96.8,3.5,95.5,100.5,5.0,0,0,0,"Weight variant n° 0, Dossier n° 00.D.090.P4039/C22, EASA record Id A2432"
2271,2309,AIRBUS_20102,J,Out of Production,AIRBUS,A320,214,,,,73500.0,66000.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,84.2,91.5,7.3,93.3,96.8,3.5,95.6,100.5,4.9,0,0,0,"Weight variant n° 16, Dossier n° 00.D.090.P4039/C22, EASA record Id A2437"
2270,2308,AIRBUS_20101,J,Out of Production,AIRBUS,A320,214,,,,75500.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,85.0,91.6,6.6,93.2,96.9,3.7,95.5,100.6,5.1,0,0,0,"Weight variant n° 9, Dossier n° 00.D.090.P4039/C22, EASA record Id A2431"
2269,2307,AIRBUS_20100,J,Out of Production,AIRBUS,A320,214,,,,75500.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,85.0,91.6,6.6,93.2,96.9,3.7,95.5,100.6,5.1,0,0,0,"Weight variant n° 3, Dossier n° 00.D.090.P4039/C22, EASA record Id A2430"
2268,2306,AIRBUS_20099,J,Out of Production,AIRBUS,A320,214,,,,75500.0,66000.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,85.0,91.6,6.6,93.2,96.9,3.7,95.6,100.6,5.0,0,0,0,"Weight variant n° 11, Dossier n° 00.D.090.P4039/C22, EASA record Id A2429"
2267,2305,AIRBUS_20098,J,Out of Production,AIRBUS,A320,214,,,,77000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,85.7,91.7,6.0,93.1,96.9,3.8,95.5,100.7,5.2,0,0,0,"Weight variant n° 10, Dossier n° 00.D.090.P4039/C22, EASA record Id A2428"
2266,2304,AIRBUS_20097,J,Out of Production,AIRBUS,A320,214,,,,77000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,85.7,91.7,6.0,93.1,96.9,3.8,95.5,100.7,5.2,0,0,0,"Weight variant n° 7, Dossier n° 00.D.090.P4039/C22, EASA record Id A2427"
2265,2303,AIRBUS_20096,J,Out of Production,AIRBUS,A320,214,,,,77000.0,66000.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,85.7,91.7,6.0,93.1,96.9,3.8,95.6,100.7,5.1,0,0,0,"Weight variant n° 12, Dossier n° 00.D.090.P4039/C22, EASA record Id A2426"
2399,2437,AIRBUS_24074,J,Out of Production,AIRBUS,A320,214,,,,70000.0,64500.0,18/10,27/35,CFM56-5B4/2P,short duct,"25800, (26610 or 27727)","/P enhanced performance, DAC IIC combustor",2,120.1014,6,"ICAO Annex 16, Volume I",4,EASA,40920,82.7,91.2,8.5,93.6,96.6,3.0,95.5,100.3,4.8,0,0,0,"Weight variant n° 19, Dossier n° 00.D.090.P4039/C22, EASA record Id A75237"
